,Actual Total Load [MW] - Sweden (SE),Actual Total Load [MW] - Denmark (DK),Actual Total Load [MW] - Norway (NO)
2017-01-23 08:00:00+00:00,21886,4972,20592
2017-01-23 09:00:00+00:00,21786,4940,20412
2017-01-23 10:00:00+00:00,21877,4973,20298
2017-01-23 11:00:00+00:00,21658,4932,19884
2017-01-23 12:00:00+00:00,21347,4802,19936
2017-01-23 13:00:00+00:00,21259,4779,19841
2017-01-23 14:00:00+00:00,21188,4679,19665
2017-01-23 15:00:00+00:00,21183,4586,19840
2017-01-23 16:00:00+00:00,21876,4724,20255
2017-01-23 17:00:00+00:00,22625,5258,20387
2017-01-23 18:00:00+00:00,22088,5061,20130
2017-01-23 19:00:00+00:00,21735,4740,19933
2017-01-23 20:00:00+00:00,20819,4335,19724
2017-01-23 21:00:00+00:00,20058,4045,19361
2017-01-23 22:00:00+00:00,19136,3707,18527
2017-01-23 23:00:00+00:00,18207,3395,17820
2017-01-24 00:00:00+00:00,17490,3184,16935
2017-01-24 01:00:00+00:00,17247,3052,16736
2017-01-24 02:00:00+00:00,17402,2987,16728
2017-01-24 03:00:00+00:00,17501,3000,16773
2017-01-24 04:00:00+00:00,17628,3065,16863
2017-01-24 05:00:00+00:00,18630,3334,17353
2017-01-24 06:00:00+00:00,20551,4020,18966
2017-01-24 07:00:00+00:00,22564,4772,20631
2017-01-24 08:00:00+00:00,22649,4972,21035
2017-01-24 09:00:00+00:00,22421,4935,20701
2017-01-24 10:00:00+00:00,22349,4776,20682
2017-01-24 11:00:00+00:00,22636,4824,20287
2017-01-24 12:00:00+00:00,21998,4865,20271
2017-01-24 13:00:00+00:00,21911,4854,20345
2017-01-24 14:00:00+00:00,21983,4783,20275
2017-01-24 15:00:00+00:00,22133,4645,20300
2017-01-24 16:00:00+00:00,22783,4755,20607
2017-01-24 17:00:00+00:00,23105,5255,20506
2017-01-24 18:00:00+00:00,22346,5043,20127
2017-01-24 19:00:00+00:00,22080,4694,20022
2017-01-24 20:00:00+00:00,21573,4358,19625
2017-01-24 21:00:00+00:00,20631,4025,19163
2017-01-24 22:00:00+00:00,19429,3660,18392
2017-01-24 23:00:00+00:00,18395,3314,17625
2017-01-25 00:00:00+00:00,17681,3097,17050
2017-01-25 01:00:00+00:00,17312,2984,16478
2017-01-25 02:00:00+00:00,17208,2921,16169
2017-01-25 03:00:00+00:00,17191,2962,16186
2017-01-25 04:00:00+00:00,17348,3042,16413
2017-01-25 05:00:00+00:00,17956,3335,16751
2017-01-25 06:00:00+00:00,20075,4013,18166
2017-01-25 07:00:00+00:00,22107,4767,19799
2017-01-25 08:00:00+00:00,22152,4974,20114
2017-01-25 09:00:00+00:00,21798,4934,19876
2017-01-25 10:00:00+00:00,22011,5025,19758
2017-01-25 11:00:00+00:00,21833,5039,19578
2017-01-25 12:00:00+00:00,21420,4931,19429
2017-01-25 13:00:00+00:00,21189,4937,19370
2017-01-25 14:00:00+00:00,21233,4852,19287
2017-01-25 15:00:00+00:00,21606,4750,19345
2017-01-25 16:00:00+00:00,21965,4901,19660
2017-01-25 17:00:00+00:00,22101,5368,19698
2017-01-25 18:00:00+00:00,21688,5151,19426
2017-01-25 19:00:00+00:00,20991,4814,19164
2017-01-25 20:00:00+00:00,20303,4476,18694
2017-01-25 21:00:00+00:00,19483,4151,18204
2017-01-25 22:00:00+00:00,18363,3795,17457
2017-01-25 23:00:00+00:00,17012,3463,16692
2017-01-26 00:00:00+00:00,16589,3275,16009
2017-01-26 01:00:00+00:00,16081,3159,15607
2017-01-26 02:00:00+00:00,15930,3127,15405
2017-01-26 03:00:00+00:00,16219,3177,15492
2017-01-26 04:00:00+00:00,16484,3271,15784
2017-01-26 05:00:00+00:00,17491,3546,16263
2017-01-26 06:00:00+00:00,19124,4225,17611
2017-01-26 07:00:00+00:00,20977,4983,19291
2017-01-26 08:00:00+00:00,21284,5200,19611
2017-01-26 09:00:00+00:00,21115,5192,19547
2017-01-26 10:00:00+00:00,21294,5237,19604
2017-01-26 11:00:00+00:00,21098,5162,19259
2017-01-26 12:00:00+00:00,20744,5026,19077
2017-01-26 13:00:00+00:00,20576,5017,18753
2017-01-26 14:00:00+00:00,20880,4938,18717
2017-01-26 15:00:00+00:00,21002,4812,18955
2017-01-26 16:00:00+00:00,21413,4917,19319
2017-01-26 17:00:00+00:00,22049,5391,19671
2017-01-26 18:00:00+00:00,21713,5190,19543
2017-01-26 19:00:00+00:00,21317,4871,19267
2017-01-26 20:00:00+00:00,20994,4508,18898
2017-01-26 21:00:00+00:00,20367,4171,18574
2017-01-26 22:00:00+00:00,19053,3793,17949
2017-01-26 23:00:00+00:00,18071,3481,17120
2017-01-27 00:00:00+00:00,17242,3286,16585
2017-01-27 01:00:00+00:00,16868,3185,16251
2017-01-27 02:00:00+00:00,16719,3120,16101
2017-01-27 03:00:00+00:00,16947,3122,16076
2017-01-27 04:00:00+00:00,17083,3208,16222
2017-01-27 05:00:00+00:00,18297,3451,16635
2017-01-27 06:00:00+00:00,20295,4098,18121
2017-01-27 07:00:00+00:00,21996,4771,19876
2017-01-27 08:00:00+00:00,22340,4949,20317
2017-01-27 09:00:00+00:00,22219,4872,20155
2017-01-27 10:00:00+00:00,22079,4852,20117
2017-01-27 11:00:00+00:00,21651,4735,19882
2017-01-27 12:00:00+00:00,21316,4529,19630
2017-01-27 13:00:00+00:00,20949,4369,19456
2017-01-27 14:00:00+00:00,20623,4246,19443
2017-01-27 15:00:00+00:00,20820,4211,19422
2017-01-27 16:00:00+00:00,21474,4410,19544
2017-01-27 17:00:00+00:00,21986,4957,19770
2017-01-27 18:00:00+00:00,21809,4852,19730
2017-01-27 19:00:00+00:00,21203,4511,19379
2017-01-27 20:00:00+00:00,20254,4176,18768
2017-01-27 21:00:00+00:00,19332,3935,18279
2017-01-27 22:00:00+00:00,18442,3665,17646
2017-01-27 23:00:00+00:00,17786,3411,17037
2017-01-28 00:00:00+00:00,17051,3216,16527
2017-01-28 01:00:00+00:00,16874,3069,16266
2017-01-28 02:00:00+00:00,16800,2994,16020
2017-01-28 03:00:00+00:00,16802,2967,16012
2017-01-28 04:00:00+00:00,16875,2957,16086
2017-01-28 05:00:00+00:00,17110,3026,16230
2017-01-28 06:00:00+00:00,17841,3198,16444
2017-01-28 07:00:00+00:00,18731,3502,16831
2017-01-28 08:00:00+00:00,19190,3791,17475
2017-01-28 09:00:00+00:00,19948,3969,18155
2017-01-28 10:00:00+00:00,20299,4035,18660
2017-01-28 11:00:00+00:00,20305,4000,18719
2017-01-28 12:00:00+00:00,20161,3908,18616
2017-01-28 13:00:00+00:00,19819,3790,18535
2017-01-28 14:00:00+00:00,19487,3723,18439
2017-01-28 15:00:00+00:00,19689,3714,18443
2017-01-28 16:00:00+00:00,20690,3937,18756
2017-01-28 17:00:00+00:00,21189,4531,18989
2017-01-28 18:00:00+00:00,20800,4462,18882
2017-01-28 19:00:00+00:00,20264,4092,18567
2017-01-28 20:00:00+00:00,19801,3833,18065
2017-01-28 21:00:00+00:00,19008,3594,17599
2017-01-28 22:00:00+00:00,18211,3402,17039
2017-01-28 23:00:00+00:00,17521,3207,16633
2017-01-29 00:00:00+00:00,17174,3027,16256
2017-01-29 01:00:00+00:00,16965,2911,15882
2017-01-29 02:00:00+00:00,16744,2858,15672
2017-01-29 03:00:00+00:00,16650,2835,15580
2017-01-29 04:00:00+00:00,16632,2868,15639
2017-01-29 05:00:00+00:00,16817,2933,15735
2017-01-29 06:00:00+00:00,17542,3064,15968
2017-01-29 07:00:00+00:00,18176,3287,16249
2017-01-29 08:00:00+00:00,18617,3553,16711
2017-01-29 09:00:00+00:00,19275,3748,17373
2017-01-29 10:00:00+00:00,19515,3875,17896
2017-01-29 11:00:00+00:00,19795,3921,18151
2017-01-29 12:00:00+00:00,20139,3880,18204
2017-01-29 13:00:00+00:00,20302,3868,18320
2017-01-29 14:00:00+00:00,20190,3870,18279
2017-01-29 15:00:00+00:00,20487,3884,18363
2017-01-29 16:00:00+00:00,20921,4067,18629
2017-01-29 17:00:00+00:00,21256,4575,18739
2017-01-29 18:00:00+00:00,21075,4512,18536
2017-01-29 19:00:00+00:00,20739,4213,18411
2017-01-29 20:00:00+00:00,19991,3898,18240
2017-01-29 21:00:00+00:00,19192,3641,17860
2017-01-29 22:00:00+00:00,18176,3337,17393
2017-01-29 23:00:00+00:00,17613,3070,16855
2017-01-30 00:00:00+00:00,16810,2945,16252
2017-01-30 01:00:00+00:00,16574,2874,15683
2017-01-30 02:00:00+00:00,16591,2860,15586
2017-01-30 03:00:00+00:00,16430,2882,15717
2017-01-30 04:00:00+00:00,16622,2965,15940
2017-01-30 05:00:00+00:00,17506,3264,16586
2017-01-30 06:00:00+00:00,19543,3970,18099
2017-01-30 07:00:00+00:00,21862,4728,19834
2017-01-30 08:00:00+00:00,21709,4955,20229
2017-01-30 09:00:00+00:00,21798,4948,20054
2017-01-30 10:00:00+00:00,21763,5005,19834
2017-01-30 11:00:00+00:00,21603,5009,19655
2017-01-30 12:00:00+00:00,21294,4926,19447
2017-01-30 13:00:00+00:00,21136,4875,19331
2017-01-30 14:00:00+00:00,20909,4819,19270
2017-01-30 15:00:00+00:00,20979,4703,19419
2017-01-30 16:00:00+00:00,21332,4765,19813
2017-01-30 17:00:00+00:00,22016,5222,19965
2017-01-30 18:00:00+00:00,21553,5051,19826
2017-01-30 19:00:00+00:00,21153,4731,19688
2017-01-30 20:00:00+00:00,20403,4353,19464
2017-01-30 21:00:00+00:00,19409,4053,19091
2017-01-30 22:00:00+00:00,18232,3699,18396
2017-01-30 23:00:00+00:00,17262,3378,17589
2017-01-31 00:00:00+00:00,16979,3145,16923
2017-01-31 01:00:00+00:00,16585,3009,16546
2017-01-31 02:00:00+00:00,16590,2952,16425
2017-01-31 03:00:00+00:00,16762,2986,16487
2017-01-31 04:00:00+00:00,17178,3056,16651
2017-01-31 05:00:00+00:00,17816,3332,17165
2017-01-31 06:00:00+00:00,20078,4014,18512
2017-01-31 07:00:00+00:00,21880,4764,20198
2017-01-31 08:00:00+00:00,22227,4963,20755
2017-01-31 09:00:00+00:00,22129,4958,20557
2017-01-31 10:00:00+00:00,22480,5030,20547
2017-01-31 11:00:00+00:00,22469,5003,20396
2017-01-31 12:00:00+00:00,22126,4913,20189
2017-01-31 13:00:00+00:00,22035,4901,20079
2017-01-31 14:00:00+00:00,22030,4813,20013
2017-01-31 15:00:00+00:00,21715,4713,19971
2017-01-31 16:00:00+00:00,22064,4789,20372
2017-01-31 17:00:00+00:00,22764,5270,20671
2017-01-31 18:00:00+00:00,22481,5076,20484
2017-01-31 19:00:00+00:00,21668,4738,20205
2017-01-31 20:00:00+00:00,21004,4393,19793
2017-01-31 21:00:00+00:00,20163,4088,19398
2017-01-31 22:00:00+00:00,19004,3724,18684
2017-01-31 23:00:00+00:00,17826,3374,17900
2017-02-01 00:00:00+00:00,16856,3175,17169
2017-02-01 01:00:00+00:00,16664,3058,16764
2017-02-01 02:00:00+00:00,16651,3014,16601
2017-02-01 03:00:00+00:00,16803,3041,16639
2017-02-01 04:00:00+00:00,17201,3108,16775
2017-02-01 05:00:00+00:00,18095,3381,17231
2017-02-01 06:00:00+00:00,20246,4038,18631
2017-02-01 07:00:00+00:00,21835,4787,20352
2017-02-01 08:00:00+00:00,21702,4966,20777
2017-02-01 09:00:00+00:00,21713,4963,20483
2017-02-01 10:00:00+00:00,22011,5025,20525
2017-02-01 11:00:00+00:00,22094,5015,20403
2017-02-01 12:00:00+00:00,22059,4931,20427
2017-02-01 13:00:00+00:00,21974,4919,20421
2017-02-01 14:00:00+00:00,22116,4829,20478
2017-02-01 15:00:00+00:00,22345,4689,20499
2017-02-01 16:00:00+00:00,22541,4737,20603
2017-02-01 17:00:00+00:00,22906,5181,20732
2017-02-01 18:00:00+00:00,22519,4992,20470
2017-02-01 19:00:00+00:00,21967,4647,20093
2017-02-01 20:00:00+00:00,21223,4270,19767
2017-02-01 21:00:00+00:00,20170,3948,19388
2017-02-01 22:00:00+00:00,19019,3601,18650
2017-02-01 23:00:00+00:00,18177,3284,17743
2017-02-02 00:00:00+00:00,17336,3041,17151
2017-02-02 01:00:00+00:00,16944,2943,16704
2017-02-02 02:00:00+00:00,16855,2881,16514
2017-02-02 03:00:00+00:00,16928,2894,16467
2017-02-02 04:00:00+00:00,17253,2995,16605
2017-02-02 05:00:00+00:00,18100,3265,17056
2017-02-02 06:00:00+00:00,19890,3946,18519
2017-02-02 07:00:00+00:00,21736,4687,20187
2017-02-02 08:00:00+00:00,21890,4926,20508
2017-02-02 09:00:00+00:00,21729,4942,20173
2017-02-02 10:00:00+00:00,22062,5069,20329
2017-02-02 11:00:00+00:00,21967,5054,20104
2017-02-02 12:00:00+00:00,21985,4945,20059
2017-02-02 13:00:00+00:00,22020,4979,20084
2017-02-02 14:00:00+00:00,21865,4898,19992
2017-02-02 15:00:00+00:00,22016,4757,20074
2017-02-02 16:00:00+00:00,22281,4794,20254
2017-02-02 17:00:00+00:00,22535,5234,20276
2017-02-02 18:00:00+00:00,21912,5057,20006
2017-02-02 19:00:00+00:00,21503,4710,19719
2017-02-02 20:00:00+00:00,20845,4392,19404
2017-02-02 21:00:00+00:00,19916,4090,19017
2017-02-02 22:00:00+00:00,18902,3892,18356
2017-02-02 23:00:00+00:00,17974,3457,17540
2017-02-03 00:00:00+00:00,17211,3260,16825
2017-02-03 01:00:00+00:00,16917,3068,16464
2017-02-03 02:00:00+00:00,16795,3020,16157
2017-02-03 03:00:00+00:00,16873,3002,16204
2017-02-03 04:00:00+00:00,17235,3038,16296
2017-02-03 05:00:00+00:00,18041,3305,16741
2017-02-03 06:00:00+00:00,20282,3967,18124
2017-02-03 07:00:00+00:00,22127,4666,19655
2017-02-03 08:00:00+00:00,22268,4884,20036
2017-02-03 09:00:00+00:00,22348,4935,19876
2017-02-03 10:00:00+00:00,22339,5044,19932
2017-02-03 11:00:00+00:00,22265,5008,19835
2017-02-03 12:00:00+00:00,21997,4822,19709
2017-02-03 13:00:00+00:00,21745,4692,19541
2017-02-03 14:00:00+00:00,21569,4539,19504
2017-02-03 15:00:00+00:00,21468,4478,19371
2017-02-03 16:00:00+00:00,21805,4585,19524
2017-02-03 17:00:00+00:00,22113,4991,19739
2017-02-03 18:00:00+00:00,21659,4829,19522
2017-02-03 19:00:00+00:00,20770,4447,19184
2017-02-03 20:00:00+00:00,20068,4067,18678
2017-02-03 21:00:00+00:00,19298,3785,18135
2017-02-03 22:00:00+00:00,18324,3524,17612
2017-02-03 23:00:00+00:00,17522,3251,17013
2017-02-04 00:00:00+00:00,16882,2999,16496
2017-02-04 01:00:00+00:00,16558,2852,16130
2017-02-04 02:00:00+00:00,16396,2776,15923
2017-02-04 03:00:00+00:00,16306,2766,15805
2017-02-04 04:00:00+00:00,16200,2783,15782
2017-02-04 05:00:00+00:00,16387,2878,15992
2017-02-04 06:00:00+00:00,17028,3076,16337
2017-02-04 07:00:00+00:00,17812,3406,16852
2017-02-04 08:00:00+00:00,18452,3728,17546
2017-02-04 09:00:00+00:00,19163,3991,18275
2017-02-04 10:00:00+00:00,19709,4122,18792
2017-02-04 11:00:00+00:00,19760,4120,18851
2017-02-04 12:00:00+00:00,19654,4083,18586
2017-02-04 13:00:00+00:00,19560,4061,18388
2017-02-04 14:00:00+00:00,19491,4034,18417
2017-02-04 15:00:00+00:00,19649,4032,18642
2017-02-04 16:00:00+00:00,20175,4172,18844
2017-02-04 17:00:00+00:00,20283,4621,19173
2017-02-04 18:00:00+00:00,20094,4562,19259
2017-02-04 19:00:00+00:00,19621,4207,18915
2017-02-04 20:00:00+00:00,19066,3943,18597
2017-02-04 21:00:00+00:00,18491,3702,18121
2017-02-04 22:00:00+00:00,17802,3471,17596
2017-02-04 23:00:00+00:00,17261,3229,17010
2017-02-05 00:00:00+00:00,16839,3019,16622
2017-02-05 01:00:00+00:00,16601,2868,16343
2017-02-05 02:00:00+00:00,16329,2791,16206
2017-02-05 03:00:00+00:00,16169,2759,16005
2017-02-05 04:00:00+00:00,16230,2787,16011
2017-02-05 05:00:00+00:00,16581,2838,16130
2017-02-05 06:00:00+00:00,16963,2978,16376
2017-02-05 07:00:00+00:00,17248,3204,16591
2017-02-05 08:00:00+00:00,18019,3473,17097
2017-02-05 09:00:00+00:00,18863,3756,17680
2017-02-05 10:00:00+00:00,19373,3904,18157
2017-02-05 11:00:00+00:00,19838,3957,18200
2017-02-05 12:00:00+00:00,19848,3947,18124
2017-02-05 13:00:00+00:00,19812,3939,18137
2017-02-05 14:00:00+00:00,19740,3910,18253
2017-02-05 15:00:00+00:00,19760,3915,18346
2017-02-05 16:00:00+00:00,20410,4099,18720
2017-02-05 17:00:00+00:00,21080,4595,19047
2017-02-05 18:00:00+00:00,20890,4524,18995
2017-02-05 19:00:00+00:00,20337,4221,18856
2017-02-05 20:00:00+00:00,19930,3935,18696
2017-02-05 21:00:00+00:00,19292,3660,18297
2017-02-05 22:00:00+00:00,18441,3403,17697
2017-02-05 23:00:00+00:00,17702,3138,17114
2017-02-06 00:00:00+00:00,16985,2925,16671
2017-02-06 01:00:00+00:00,16727,2819,16310
2017-02-06 02:00:00+00:00,16690,2762,16110
2017-02-06 03:00:00+00:00,16749,2771,16228
2017-02-06 04:00:00+00:00,16994,2874,16388
2017-02-06 05:00:00+00:00,17881,3163,16993
2017-02-06 06:00:00+00:00,20118,3852,18368
2017-02-06 07:00:00+00:00,22221,4592,20183
2017-02-06 08:00:00+00:00,22346,4865,20481
2017-02-06 09:00:00+00:00,22368,4948,20320
2017-02-06 10:00:00+00:00,22617,5025,20322
2017-02-06 11:00:00+00:00,22486,4936,20081
2017-02-06 12:00:00+00:00,22333,4825,19942
2017-02-06 13:00:00+00:00,22307,4836,19728
2017-02-06 14:00:00+00:00,22202,4824,19850
2017-02-06 15:00:00+00:00,22407,4672,19999
2017-02-06 16:00:00+00:00,22730,4724,20222
2017-02-06 17:00:00+00:00,23148,5198,20533
2017-02-06 18:00:00+00:00,23033,5084,20426
2017-02-06 19:00:00+00:00,22438,4709,20226
2017-02-06 20:00:00+00:00,21636,4317,19957
2017-02-06 21:00:00+00:00,21028,4025,19632
2017-02-06 22:00:00+00:00,19944,3646,18990
2017-02-06 23:00:00+00:00,18932,3352,18512
2017-02-07 00:00:00+00:00,18520,3237,17535
2017-02-07 01:00:00+00:00,18247,3044,17188
2017-02-07 02:00:00+00:00,18182,3042,17025
2017-02-07 03:00:00+00:00,18272,3088,17124
2017-02-07 04:00:00+00:00,18612,3217,17368
2017-02-07 05:00:00+00:00,19257,3523,18038
2017-02-07 06:00:00+00:00,21389,4105,19557
2017-02-07 07:00:00+00:00,23255,4835,21418
2017-02-07 08:00:00+00:00,23273,4968,21850
2017-02-07 09:00:00+00:00,23469,4986,21758
2017-02-07 10:00:00+00:00,23232,5006,21690
2017-02-07 11:00:00+00:00,22899,5031,21398
2017-02-07 12:00:00+00:00,22876,4962,21298
2017-02-07 13:00:00+00:00,22688,4901,21140
2017-02-07 14:00:00+00:00,22656,4865,21124
2017-02-07 15:00:00+00:00,22857,4702,21260
2017-02-07 16:00:00+00:00,23129,4796,21536
2017-02-07 17:00:00+00:00,24157,5248,21830
2017-02-07 18:00:00+00:00,23784,5169,21741
2017-02-07 19:00:00+00:00,23543,4790,21574
2017-02-07 20:00:00+00:00,22825,4493,21345
2017-02-07 21:00:00+00:00,22017,4219,21034
2017-02-07 22:00:00+00:00,20920,3872,20379
2017-02-07 23:00:00+00:00,19756,3500,19567
2017-02-08 00:00:00+00:00,19185,3287,18750
2017-02-08 01:00:00+00:00,18989,3154,18423
2017-02-08 02:00:00+00:00,19009,3126,18315
2017-02-08 03:00:00+00:00,19114,3138,18385
2017-02-08 04:00:00+00:00,19260,3262,18548
2017-02-08 05:00:00+00:00,19909,3540,19046
2017-02-08 06:00:00+00:00,22300,4229,20651
2017-02-08 07:00:00+00:00,24103,4939,22456
2017-02-08 08:00:00+00:00,24108,5099,22746
2017-02-08 09:00:00+00:00,23954,5132,22632
2017-02-08 10:00:00+00:00,23786,5182,22419
2017-02-08 11:00:00+00:00,23549,5116,22152
2017-02-08 12:00:00+00:00,23344,4979,21974
2017-02-08 13:00:00+00:00,23077,5006,21826
2017-02-08 14:00:00+00:00,22815,4939,21642
2017-02-08 15:00:00+00:00,22922,4793,21720
2017-02-08 16:00:00+00:00,23401,4781,21927
2017-02-08 17:00:00+00:00,24022,5291,22182
2017-02-08 18:00:00+00:00,23634,5211,22181
2017-02-08 19:00:00+00:00,23575,4860,22080
2017-02-08 20:00:00+00:00,23030,4536,21792
2017-02-08 21:00:00+00:00,21927,4205,21414
2017-02-08 22:00:00+00:00,20604,3873,20685
2017-02-08 23:00:00+00:00,19646,3580,19842
2017-02-09 00:00:00+00:00,18902,3380,19286
2017-02-09 01:00:00+00:00,18619,3300,18978
2017-02-09 02:00:00+00:00,18628,3245,18837
2017-02-09 03:00:00+00:00,18769,3262,18814
2017-02-09 04:00:00+00:00,18886,3346,18978
2017-02-09 05:00:00+00:00,19909,3625,19512
2017-02-09 06:00:00+00:00,21931,4301,20993
2017-02-09 07:00:00+00:00,23672,4972,22858
2017-02-09 08:00:00+00:00,23805,5123,23246
2017-02-09 09:00:00+00:00,23606,5169,23034
2017-02-09 10:00:00+00:00,23540,5226,22856
2017-02-09 11:00:00+00:00,23502,5174,22629
2017-02-09 12:00:00+00:00,23200,5047,22347
2017-02-09 13:00:00+00:00,22856,5067,22166
2017-02-09 14:00:00+00:00,22804,5024,21976
2017-02-09 15:00:00+00:00,22750,4907,22022
2017-02-09 16:00:00+00:00,23057,4960,22055
2017-02-09 17:00:00+00:00,23551,5382,22225
2017-02-09 18:00:00+00:00,23479,5361,22163
2017-02-09 19:00:00+00:00,23106,5057,22090
2017-02-09 20:00:00+00:00,22207,4789,21581
2017-02-09 21:00:00+00:00,21356,4541,21084
2017-02-09 22:00:00+00:00,20365,4055,20430
2017-02-09 23:00:00+00:00,19573,3715,19686
2017-02-10 00:00:00+00:00,18935,3476,18920
2017-02-10 01:00:00+00:00,18718,3356,18579
2017-02-10 02:00:00+00:00,18681,3342,18385
2017-02-10 03:00:00+00:00,18840,3370,18355
2017-02-10 04:00:00+00:00,18996,3357,18482
2017-02-10 05:00:00+00:00,19787,3613,18911
2017-02-10 06:00:00+00:00,21521,4285,20329
2017-02-10 07:00:00+00:00,23102,4937,22066
2017-02-10 08:00:00+00:00,23405,5142,22351
2017-02-10 09:00:00+00:00,23682,5064,22244
2017-02-10 10:00:00+00:00,23426,5125,22215
2017-02-10 11:00:00+00:00,23257,5086,21976
2017-02-10 12:00:00+00:00,22796,4916,21695
2017-02-10 13:00:00+00:00,22275,4736,21523
2017-02-10 14:00:00+00:00,21849,4545,21456
2017-02-10 15:00:00+00:00,21650,4401,21338
2017-02-10 16:00:00+00:00,21730,4445,21316
2017-02-10 17:00:00+00:00,22296,4853,21575
2017-02-10 18:00:00+00:00,22028,4985,21576
2017-02-10 19:00:00+00:00,21452,4540,21267
2017-02-10 20:00:00+00:00,20658,4272,20778
2017-02-10 21:00:00+00:00,19792,4019,20241
2017-02-10 22:00:00+00:00,19195,3717,19595
2017-02-10 23:00:00+00:00,18494,3420,18991
2017-02-11 00:00:00+00:00,18018,3221,18342
2017-02-11 01:00:00+00:00,17888,3077,18058
2017-02-11 02:00:00+00:00,17836,2988,17901
2017-02-11 03:00:00+00:00,17887,2937,17789
2017-02-11 04:00:00+00:00,17794,2995,17832
2017-02-11 05:00:00+00:00,17707,3118,17953
2017-02-11 06:00:00+00:00,18125,3308,18319
2017-02-11 07:00:00+00:00,18596,3572,18915
2017-02-11 08:00:00+00:00,19286,3822,19585
2017-02-11 09:00:00+00:00,19973,3972,20193
2017-02-11 10:00:00+00:00,20360,3980,20353
2017-02-11 11:00:00+00:00,20278,3945,20164
2017-02-11 12:00:00+00:00,20035,3854,19897
2017-02-11 13:00:00+00:00,19796,3808,19529
2017-02-11 14:00:00+00:00,19600,3734,19319
2017-02-11 15:00:00+00:00,19546,3734,19262
2017-02-11 16:00:00+00:00,19955,3923,19579
2017-02-11 17:00:00+00:00,21036,4449,20404
2017-02-11 18:00:00+00:00,21097,4572,20667
2017-02-11 19:00:00+00:00,20668,4183,20281
2017-02-11 20:00:00+00:00,20059,3937,19802
2017-02-11 21:00:00+00:00,19482,3721,19408
2017-02-11 22:00:00+00:00,18859,3456,19054
2017-02-11 23:00:00+00:00,18155,3239,18620
2017-02-12 00:00:00+00:00,18142,3040,18117
2017-02-12 01:00:00+00:00,17965,2920,17784
2017-02-12 02:00:00+00:00,17927,2849,17626
2017-02-12 03:00:00+00:00,18017,2798,17661
2017-02-12 04:00:00+00:00,18031,2861,17765
2017-02-12 05:00:00+00:00,18369,2977,17898
2017-02-12 06:00:00+00:00,18677,3067,18253
2017-02-12 07:00:00+00:00,19307,3300,18667
2017-02-12 08:00:00+00:00,19652,3650,19016
2017-02-12 09:00:00+00:00,20034,3855,19444
2017-02-12 10:00:00+00:00,20242,3958,19672
2017-02-12 11:00:00+00:00,20167,3950,19502
2017-02-12 12:00:00+00:00,19986,3847,19337
2017-02-12 13:00:00+00:00,19832,3787,18982
2017-02-12 14:00:00+00:00,19956,3725,18802
2017-02-12 15:00:00+00:00,20227,3846,18824
2017-02-12 16:00:00+00:00,20547,3940,19198
2017-02-12 17:00:00+00:00,21349,4469,19678
2017-02-12 18:00:00+00:00,21382,4625,19871
2017-02-12 19:00:00+00:00,21173,4335,19768
2017-02-12 20:00:00+00:00,20915,4105,19639
2017-02-12 21:00:00+00:00,20096,3898,19481
2017-02-12 22:00:00+00:00,19329,3641,18970
2017-02-12 23:00:00+00:00,18904,3416,18227
2017-02-13 00:00:00+00:00,18406,3284,17683
2017-02-13 01:00:00+00:00,18316,3278,17409
2017-02-13 02:00:00+00:00,18364,3193,17343
2017-02-13 03:00:00+00:00,18327,3208,17369
2017-02-13 04:00:00+00:00,18534,3287,17531
2017-02-13 05:00:00+00:00,19113,3553,18072
2017-02-13 06:00:00+00:00,21290,4152,19625
2017-02-13 07:00:00+00:00,23098,4784,21504
2017-02-13 08:00:00+00:00,23013,5042,21818
2017-02-13 09:00:00+00:00,22875,5108,21637
2017-02-13 10:00:00+00:00,22495,5169,21078
2017-02-13 11:00:00+00:00,22199,5077,20793
